equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category
B-0302C,mult,2024-03-03 14:06:00,2024-03-03 15:37:00,91.0,92,0.05391713,1.22,0.03282025295098039,0.743,179.41,far
B-0302C,mult,2024-03-04 14:54:00,2024-03-04 16:37:00,103.0,104,0.055422142,1.254,0.034320610359649124,0.777,178.38,far
B-0302C,mult,2024-03-04 22:34:00,2024-03-04 23:21:00,47.0,48,0.04436872,1.004,0.032553018344827586,0.737,178.06,far
B-0302C,mult,2024-03-05 04:16:00,2024-03-05 11:11:00,415.0,416,0.08627084,1.952,0.04753680251877934,1.076,177.82,far
B-0302C,mult,2024-03-17 16:42:00,2024-03-17 17:43:00,61.0,62,0.048764724,1.104,0.03197664070972222,0.724,165.3,far
B-0302C,mult,2024-03-17 19:41:00,2024-03-17 20:49:00,68.0,69,0.048844896,1.105,0.037150754962025315,0.841,165.18,far
B-0302C,mult,2024-03-18 15:23:00,2024-03-18 16:53:00,90.0,91,0.07138329,1.616,0.03431637568514852,0.777,164.36,far
B-0302C,mult,2024-04-05 10:18:00,2024-04-05 11:46:00,88.0,89,0.06680799,1.512,0.030046553761616163,0.68,146.57,far
B-0302C,mult,2024-04-09 17:15:00,2024-04-09 19:42:00,147.0,148,0.0757006,1.713,0.04817760555063291,1.09,142.28,far
B-0302C,mult,2024-04-10 15:16:00,2024-04-10 16:27:00,71.0,72,0.050689418,1.147,0.035563760158536586,0.805,141.36,far
B-0302C,mult,2024-05-02 17:19:00,2024-05-02 19:02:00,103.0,104,0.06539447,1.48,0.0337368448245614,0.764,119.28,far
B-0302C,mult,2024-05-13 15:34:00,2024-05-13 16:40:00,66.0,67,0.047267642,1.07,0.02782118241558442,0.63,108.35,far
B-0302C,mult,2024-05-21 14:24:00,2024-05-21 15:20:00,56.0,57,0.045143463,1.022,0.029826581835820896,0.675,100.4,far
B-0302C,mult,2024-05-28 22:02:00,2024-05-28 23:06:00,64.0,65,0.04817097,1.09,0.030927869379999997,0.7,93.08,far
B-0302C,mult,2024-06-19 22:03:00,2024-06-19 22:59:00,56.0,57,0.05269508,1.193,0.03207784624626866,0.726,71.08,far
B-0302C,mult,2024-06-29 07:30:00,2024-06-29 09:17:00,107.0,108,0.07373885,1.669,0.03590131966016948,0.813,61.69,far
B-0302C,mult,2024-07-09 18:38:00,2024-07-09 19:37:00,59.0,60,0.05291043,1.197,0.023963202528571433,0.542,51.22,far
B-0302C,mult,2024-07-27 19:39:00,2024-07-27 20:38:00,59.0,60,0.051328786,1.162,0.030235894114285716,0.684,33.18,far
B-0302C,mult,2024-08-05 17:51:00,2024-08-05 19:40:00,109.0,110,0.09997944,2.263,0.03850160712500001,0.871,24.26,far
B-0302C,mult,2024-08-07 14:17:00,2024-08-07 15:50:00,93.0,94,0.055141475,1.248,0.03347245290769231,0.758,22.4,far
B-0302C,mult,2024-08-16 22:02:00,2024-08-16 23:12:00,70.0,71,0.054603506,1.236,0.033960961716049384,0.769,13.08,far
B-0302C,mult,2024-08-18 16:06:00,2024-08-18 17:28:00,82.0,83,0.051309798,1.161,0.03267717663978494,0.74,11.33,far
B-0302C,mult,2024-08-28 21:38:00,2024-08-29 00:10:00,152.0,153,0.07108239,1.609,0.04112960664723926,0.931,1.1,near_48h
B-0302C,mult,2024-08-30 18:36:00,2024-08-30 20:54:00,138.0,139,0.06377201,1.443,0.04222237414093959,0.956,0.78,near_48h
B-24001B,mult,2024-10-11 12:06:00,2024-10-11 13:35:00,89.0,90,0.33565503,2.041,0.14034307049000003,0.854,86.5,far
B-24001B,mult,2024-11-07 16:27:00,2024-11-07 17:45:00,78.0,79,0.20356074,1.238,0.10954925373033711,0.666,59.31,far
B-24001B,mult,2024-11-11 05:37:00,2024-11-11 06:24:00,47.0,48,0.19374338,1.178,0.11328843412068966,0.689,55.77,far
B-24001B,mult,2024-11-13 15:04:00,2024-11-13 16:12:00,68.0,69,0.18114801,1.102,0.10056982106329114,0.612,53.37,far
B-24001B,mult,2024-11-21 00:32:00,2024-11-21 02:32:00,120.0,121,0.40004295,2.433,0.19524581979389316,1.187,45.98,far
B-24001B,mult,2024-11-22 12:11:00,2024-11-22 13:30:00,79.0,80,0.2132522,1.297,0.13800522786666666,0.839,44.49,far
B-24001B,mult,2024-11-22 17:00:00,2024-11-22 17:32:00,32.0,33,0.39333642,2.392,0.2232297124651163,1.358,44.29,far
B-24001B,mult,2024-11-22 17:35:00,2024-11-22 19:23:00,108.0,109,0.39333642,2.392,0.1342050458823529,0.816,44.27,far
B-24001B,mult,2024-11-27 12:24:00,2024-11-27 16:38:00,254.0,255,0.6246854,3.799,0.26734386575471697,1.626,39.48,far
B-24001B,mult,2024-11-27 18:40:00,2024-11-28 00:11:00,331.0,332,0.6247184,3.799,0.2414486199064327,1.468,39.22,far
B-24001B,mult,2024-11-28 01:06:00,2024-11-28 02:03:00,57.0,58,0.21427852,1.303,0.13321746622058825,0.81,38.95,far
B-24001B,mult,2024-11-28 03:39:00,2024-11-28 05:13:00,94.0,95,0.2011962,1.224,0.1070427062952381,0.651,38.85,far
B-24001B,mult,2024-11-28 07:59:00,2024-11-28 12:10:00,251.0,252,0.34192467,2.079,0.1943628675305344,1.182,38.67,far
B-24001B,mult,2024-11-29 05:21:00,2024-11-29 07:16:00,115.0,116,0.41001186,2.494,0.2235971999603175,1.36,37.78,far
B-24001B,mult,2024-11-29 07:56:00,2024-11-29 09:46:00,110.0,111,0.29562882,1.798,0.15413216328099172,0.937,37.67,far
B-24001B,mult,2024-11-29 15:55:00,2024-11-29 19:21:00,206.0,207,0.33268735,2.023,0.17584157923963134,1.069,37.34,far
B-24001B,mult,2024-11-30 17:10:00,2024-11-30 21:49:00,279.0,280,0.31193236,1.897,0.177915603,1.082,36.28,far
B-24001B,mult,2024-11-30 21:57:00,2024-12-01 01:53:00,236.0,237,0.19347902,1.177,0.15894319789473682,0.967,36.09,far
B-24001B,mult,2024-12-01 03:52:00,2024-12-01 06:30:00,158.0,159,0.18008393,1.095,0.15820721952662722,0.962,35.84,far
B-24001B,mult,2024-12-01 09:53:00,2024-12-01 11:14:00,81.0,82,0.19229384,1.169,0.15877912782608694,0.966,35.59,far
B-24001B,mult,2024-12-01 11:37:00,2024-12-01 12:40:00,63.0,64,0.17206545,1.046,0.1512703224324324,0.92,35.52,far
B-24001B,mult,2024-12-01 12:44:00,2024-12-01 13:43:00,59.0,60,0.16948447,1.031,0.14857614231428573,0.904,35.47,far
B-24001B,mult,2024-12-01 14:19:00,2024-12-01 16:02:00,103.0,104,0.19285668,1.173,0.15290217019298244,0.93,35.4,far
B-24001B,mult,2024-12-01 20:30:00,2024-12-01 22:21:00,111.0,112,0.18544152,1.128,0.15909801639344262,0.968,35.15,far
B-24001B,mult,2024-12-02 00:15:00,2024-12-02 03:13:00,178.0,179,0.19083911,1.161,0.15675984974603174,0.953,34.99,far
B-24001B,mult,2024-12-02 04:51:00,2024-12-02 05:46:00,55.0,56,0.1717936,1.045,0.14634223022727277,0.89,34.8,far
B-24001B,mult,2024-12-02 15:55:00,2024-12-02 17:40:00,105.0,106,0.30219766,1.838,0.12322122644827586,0.749,34.34,far
B-24001B,mult,2024-12-03 11:33:00,2024-12-03 13:06:00,93.0,94,0.27523762,1.674,0.14961853220192306,0.91,33.52,far
B-24001B,mult,2024-12-03 22:03:00,2024-12-03 23:06:00,63.0,64,0.17140089,1.042,0.10953659344594595,0.666,33.08,far
B-24001B,mult,2024-12-04 06:46:00,2024-12-04 09:04:00,138.0,139,0.30195895,1.836,0.1797445166241611,1.093,32.72,far
B-24001B,mult,2024-12-05 14:27:00,2024-12-05 15:06:00,39.0,40,0.44606164,2.713,0.1906292498,1.159,31.4,far
B-24001B,mult,2024-12-05 15:42:00,2024-12-05 17:00:00,78.0,79,0.24695158,1.502,0.09110757669101124,0.554,31.35,far
B-24001B,mult,2024-12-09 04:57:00,2024-12-09 05:36:00,39.0,40,0.4385049,2.667,0.20978514,1.276,27.79,far
B-24001B,mult,2024-12-09 06:32:00,2024-12-09 06:35:00,3.0,4,0.24224524,1.473,0.16345979142857142,0.994,27.73,far
B-24001B,mult,2024-12-18 13:53:00,2024-12-18 15:33:00,100.0,101,0.28613007,1.74,0.14476454774774772,0.88,18.42,far
B-24001B,mult,2024-12-19 02:50:00,2024-12-19 04:38:00,108.0,109,0.20505491,1.247,0.11740334736134454,0.714,17.88,far
B-24001B,mult,2024-12-19 15:31:00,2024-12-19 17:40:00,129.0,130,0.28344744,1.724,0.1761693205,1.071,17.35,far
B-24001B,mult,2024-12-19 18:30:00,2024-12-19 23:04:00,274.0,275,0.3784395,2.302,0.21681058050877194,1.319,17.23,far
B-24001B,mult,2024-12-20 00:42:00,2024-12-20 03:49:00,187.0,188,0.39453918,2.399,0.22190320925757576,1.35,16.97,far
B-24001B,mult,2024-12-20 04:39:00,2024-12-20 06:44:00,125.0,126,0.33050364,2.01,0.18329205822794115,1.115,16.81,far
B-24001B,mult,2024-12-20 08:34:00,2024-12-20 12:51:00,257.0,258,0.439376,2.672,0.23077955707462686,1.404,16.64,far
B-24001B,mult,2024-12-20 13:00:00,2024-12-20 14:46:00,106.0,107,0.24299914,1.478,0.14249472577777775,0.867,16.46,far
B-24001B,mult,2024-12-26 15:51:00,2024-12-26 16:28:00,37.0,38,0.6996682,4.255,0.33592999125,2.043,10.34,far
B-24001B,mult,2024-12-26 17:06:00,2024-12-26 18:22:00,76.0,77,0.43667296,2.656,0.13754109109195403,0.836,10.29,far
B-24001B,mult,2024-12-27 12:03:00,2024-12-27 14:03:00,120.0,121,0.40377623,2.456,0.20755062532824428,1.262,9.5,near_10d
B-24001B,mult,2024-12-27 14:44:00,2024-12-27 17:16:00,152.0,153,0.3583322,2.179,0.1943725308650307,1.182,9.39,near_10d
B-24001B,mult,2024-12-27 22:24:00,2024-12-27 23:36:00,72.0,73,0.1819075,1.106,0.11839370845783133,0.72,9.07,near_10d
B-24001B,mult,2024-12-28 03:58:00,2024-12-28 06:06:00,128.0,129,0.28446776,1.73,0.15035354724460429,0.914,8.83,near_10d
B-24001B,mult,2024-12-30 03:39:00,2024-12-30 05:42:00,123.0,124,0.41677538,2.535,0.18793190907462687,1.143,6.85,near_10d
B-24001B,mult,2024-12-30 21:19:00,2024-12-30 23:14:00,115.0,116,0.2832374,1.723,0.15794826444444446,0.961,6.11,near_10d
B-24001B,mult,2024-12-31 03:23:00,2024-12-31 06:22:00,179.0,180,0.41430026,2.52,0.24057900009473684,1.463,5.86,near_10d
B-24001B,mult,2024-12-31 07:00:00,2024-12-31 10:30:00,210.0,211,0.4542591,2.763,0.25010907411764705,1.521,5.71,near_10d
B-24001B,mult,2024-12-31 23:09:00,2025-01-01 01:36:00,147.0,148,0.47783664,2.906,0.21787260515189874,1.325,5.04,near_10d
B-24001B,mult,2025-01-02 11:45:00,2025-01-02 12:03:00,18.0,19,0.42801383,2.603,0.23850903000000004,1.451,3.51,near_10d
B-24001B,mult,2025-01-02 12:06:00,2025-01-02 12:17:00,11.0,12,0.42801383,2.603,0.3490526968181818,2.123,3.5,near_10d
B-24001B,mult,2025-01-02 12:19:00,2025-01-02 13:03:00,44.0,45,0.42349827,2.576,0.26360661265454544,1.603,3.49,near_10d
B-24001B,mult,2025-01-05 22:50:00,2025-01-05 22:54:00,4.0,5,0.4110969,2.5,0.24604338866666667,1.496,0.05,near_48h
B-24001B,mult,2025-01-05 23:13:00,2025-01-06 00:48:00,95.0,96,0.4104923,2.497,0.1501654410943396,0.913,0.0,near_48h
B-24001B,mult,2025-01-09 06:12:00,2025-01-09 06:12:00,0.0,1,0.31609142,1.922,0.23679419454545456,1.44,3.26,near_10d
B-24001B,mult,2025-01-09 06:39:00,2025-01-09 08:04:00,85.0,86,0.38109142,2.318,0.14936339653125,0.908,3.28,near_10d
B-24001B,mult,2025-01-09 09:51:00,2025-01-09 11:39:00,108.0,109,0.3149896,1.916,0.12379576752100839,0.753,3.41,near_10d
B-24001B,mult,2025-01-19 10:07:00,2025-01-19 13:07:00,180.0,181,0.28226313,1.717,0.18055485101570679,1.098,13.42,far
B-24001B,mult,2025-01-19 18:16:00,2025-01-19 20:00:00,104.0,105,0.23639822,1.438,0.1166913002,0.71,13.76,far
B-24001B,mult,2025-01-22 13:07:00,2025-01-22 14:06:00,59.0,60,0.19047785,1.158,0.10018685224285713,0.609,16.55,far
B-24001B,mult,2025-01-23 10:02:00,2025-01-23 10:31:00,29.0,30,0.21053465,1.28,0.17577856925000002,1.069,17.42,far
B-24001B,mult,2025-02-09 23:19:00,2025-02-10 00:28:00,69.0,70,0.19885357,1.209,0.144037502,0.876,34.97,far
B-24001B,mult,2025-02-10 13:39:00,2025-02-10 19:24:00,345.0,346,0.38871497,2.364,0.23226434477528093,1.413,35.57,far
B-24001B,mult,2025-02-10 19:26:00,2025-02-10 21:16:00,110.0,111,0.38871497,2.364,0.15133795845454545,0.92,35.81,far
