arm,par,tr_det,tr_n,tr_fp,tr_h,tr_lead,tr_quais,te_det,te_n,te_fp,te_h,te_lead,te_quais,tot_det,tot_n,tot_fp,tot_h,tot_lead,tot_quais
ambos,40/0.5,5,6,4.100992477631573,79.65260999237259,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,139.98395924844195,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.3619842241504,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/0.7,5,6,4.100992477631573,79.7926438818527,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.04691488627742,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.46789469531329,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/1.0,5,6,4.100992477631573,79.79931216230412,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.1938113745602,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.53664359764709,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/1.5,5,6,4.100992477631573,79.79931216230412,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.20220545960493,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.54035975452999,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.14918473886348,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.38826203487586,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.2,5,6,4.601113511489082,78.53900715698319,21.053333333333335,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.288273578179978,137.3733987995309,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.905327085438519,104.58566123412041,19.695833333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.25,5,6,4.201016684403075,79.88599980817276,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.036451026838074,138.59054113101675,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,105.8751676724895,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.3,5,6,4.301040891174576,79.96935331381567,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.910539751167122,139.08579214865583,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,106.1408728896174,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.39,5,6,4.100992477631573,79.50257368221534,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.784628475496171,139.56845203872777,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.403645906245943,106.09442092858106,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.5,5,6,4.100992477631573,79.6559441325983,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.03432375871034,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.38613924388933,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/0.7,5,6,4.100992477631573,79.84599012546416,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.10147643906816,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.52177897011548,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/1.0,5,6,4.100992477631573,79.86266082659274,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.25676701239567,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.59981826465653,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,60/1.5,5,6,4.100992477631573,79.8759973874956,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.26935813996278,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.6128248137467,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.14918473886348,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.38826203487586,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.2,5,6,4.601113511489082,78.53900715698319,21.053333333333335,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.288273578179978,137.39018696962034,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.905327085438519,104.59309354788621,19.695833333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.25,5,6,4.201016684403075,79.88599980817276,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.036451026838074,138.6073293011062,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,105.88259998625531,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.3,5,6,4.301040891174576,79.96935331381567,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.910539751167122,139.10258031874528,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,106.14830520338322,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.39,5,6,4.100992477631573,79.50257368221534,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.784628475496171,139.58524020881725,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.403645906245943,106.10185324234689,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.5,5,6,4.100992477631573,79.6559441325983,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.05111192879977,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.39357155765514,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/0.7,5,6,4.100992477631573,79.84599012546416,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.11826460915762,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.52921128388128,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/1.0,5,6,4.100992477631573,79.8726632472699,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.27775222500748,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.61468289218816,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,80/1.5,5,6,4.100992477631573,79.89266808862418,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.29454039509693,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.63326367660268,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
